id,file_name,Best_ths,Best PSNR,identity
732,images/t033/zjeLdAyepv.JPG,0.07,31.48687553,t033
1136,images/t056/TtLqCOOUhn.JPG,0.07,30.63611031,t056
2392,images/t141/nFyCadXWCH.JPG,0.08,33.39078522,t141
5092,images/t263/EHasQiDlGR.JPG,0.07,29.62069511,t263
4237,images/t236/GAYJBHXtYe.JPG,0.07,31.38157845,t236
1588,images/t079/WNIumUCEXo.JPG,0.08,32.49152374,t079
2111,images/t115/BHtsNHRRlv.JPG,0.08,32.14834213,t115
116,images/t006/NVvCgDiDnf.jpg,0.08,33.44045258,t006
262,images/t014/TlYSNOKjCg.jpg,0.07,30.38519859,t014
5427,images/t289/qiKgvhXqPC.JPG,0.08,32.13635254,t289
6684,images/t371/kdebLsPRqm.jpeg,0.08,33.06154633,t371
1471,images/t073/ogRSDSUBAl.jpeg,0.08,33.29431534,t073
257,images/t014/NZdNiMlNvp.jpg,0.08,32.23553467,t014
7187,images/t407/bDsskxpvKL.jpg,0.07,30.29540634,t407
4154,images/t235/INvFQicyFw.JPG,0.07,30.17071724,t235
7585,images/t441/twkHlyAaYh.JPG,0.07,29.61684799,t441
4970,images/t257/nloJNDWHet.JPG,0.08,33.52418518,t257
6059,images/t323/TrNBmAatYL.JPG,0.07,29.79892349,t323
646,images/t032/LTDoDQNflu.JPG,0.07,29.91833878,t032
5198,images/t269/sAmqBlAyGF.JPG,0.08,33.01944733,t269
8229,images/t459/EPHKHnhAnF.jpeg,0.07,31.71510696,t459
4397,images/t240/FhEaoLsIQd.JPG,0.07,29.46885109,t240
5067,images/t261/bwASOtyhKj.JPG,0.08,31.65341187,t261
163,images/t007/tGosBfkLnc.JPG,0.07,31.61436844,t007
1756,images/t093/vlRfzRiUcN.jpeg,0.1,40.79913712,t093
8375,images/t492/KLemVnMybo.jpeg,0.08,34.58610153,t492
1469,images/t073/iLEGMMQBau.jpeg,0.08,33.10726929,t073
8270,images/t468/BtAGMOznuw.jpeg,0.08,33.17487335,t468
610,images/t028/mNxlvhlCvo.JPG,0.07,30.75811005,t028
6111,images/t323/mXOQShBXhN.JPG,0.07,29.50202942,t323
658,images/t033/AuDoWobtfE.JPG,0.08,32.28467178,t033
8556,images/t567/hMrwEDnFrp.jpeg,0.07,30.68921089,t567
8691,images/t470/ILrKfRXmbW.jpeg,0.07,30.55497169,t470
5900,images/t319/wsvpwPRpOw.JPG,0.08,35.31209564,t319
6735,images/t376/KDcRKjKZrn.JPG,0.08,32.39537048,t376
601,images/t028/hgywyXBgXT.JPG,0.08,34.87865829,t028
809,images/t037/TsfEkDrDmm.JPG,0.08,32.05578613,t037
7842,images/t078/QzvYgvhOfG.jpeg,0.08,32.54874802,t078
7581,images/t441/plreWezPDd.JPG,0.07,31.68228149,t441
2586,images/t159/PQKNGdlxTF.JPG,0.07,30.21894073,t159
2197,images/t125/VdKeqPKYci.jpeg,0.08,33.64011383,t125
5568,images/t296/yUBPhQjagC.jpg,0.08,31.72216606,t296
5949,images/t322/SUlvTiCoSI.JPG,0.07,30.91704559,t322
8010,images/t296/DsxZViaucj.jpeg,0.08,32.11217499,t296
6139,images/t323/wPJEEwqHvy.JPG,0.09,35.50066757,t323
2520,images/t157/hEhsFlUhew.jpeg,0.07,31.18763924,t157
