id,file_name,Best_ths,Best PSNR,identity
732,images/t033/zjeLdAyepv.JPG,0.15,29.07999420166016,t033
1136,images/t056/TtLqCOOUhn.JPG,0.15,28.72260093688965,t056
2392,images/t141/nFyCadXWCH.JPG,0.17,31.689350128173828,t141
5092,images/t263/EHasQiDlGR.JPG,0.15,27.817018508911133,t263
4237,images/t236/GAYJBHXtYe.JPG,0.16,29.403228759765625,t236
1588,images/t079/WNIumUCEXo.JPG,0.17,30.69532012939453,t079
2111,images/t115/BHtsNHRRlv.JPG,0.16,29.75458526611328,t115
116,images/t006/NVvCgDiDnf.jpg,0.17,31.507436752319336,t006
262,images/t014/TlYSNOKjCg.jpg,0.15,28.57134056091309,t014
5427,images/t289/qiKgvhXqPC.JPG,0.16,29.718578338623047,t289
6684,images/t371/kdebLsPRqm.jpeg,0.16,31.280202865600582,t371
1471,images/t073/ogRSDSUBAl.jpeg,0.17,31.561389923095703,t073
257,images/t014/NZdNiMlNvp.jpg,0.16,30.27975845336914,t014
7187,images/t407/bDsskxpvKL.jpg,0.15,28.05645179748535,t407
4154,images/t235/INvFQicyFw.JPG,0.15,28.0172061920166,t235
7585,images/t441/twkHlyAaYh.JPG,0.15,27.62593078613281,t441
4970,images/t257/nloJNDWHet.JPG,0.17,31.819372177124023,t257
6059,images/t323/TrNBmAatYL.JPG,0.16,28.28778076171875,t323
646,images/t032/LTDoDQNflu.JPG,0.15,27.876861572265625,t032
5198,images/t269/sAmqBlAyGF.JPG,0.16,31.093963623046875,t269
8229,images/t459/EPHKHnhAnF.jpeg,0.16,29.752368927001957,t459
4397,images/t240/FhEaoLsIQd.JPG,0.15,27.42769432067871,t240
5067,images/t261/bwASOtyhKj.JPG,0.16,29.839134216308597,t261
163,images/t007/tGosBfkLnc.JPG,0.15,29.622705459594727,t007
1756,images/t093/vlRfzRiUcN.jpeg,0.2,39.294715881347656,t093
8375,images/t492/KLemVnMybo.jpeg,0.17,32.8067741394043,t492
1469,images/t073/iLEGMMQBau.jpeg,0.16,30.69522857666016,t073
8270,images/t468/BtAGMOznuw.jpeg,0.16,31.33080673217773,t468
610,images/t028/mNxlvhlCvo.JPG,0.15,28.58371353149414,t028
6111,images/t323/mXOQShBXhN.JPG,0.14,27.37066650390625,t323
658,images/t033/AuDoWobtfE.JPG,0.16,30.32558250427246,t033
8556,images/t567/hMrwEDnFrp.jpeg,0.15,28.377769470214844,t567
8691,images/t470/ILrKfRXmbW.jpeg,0.15,28.76181411743164,t470
5900,images/t319/wsvpwPRpOw.JPG,0.17,33.25273132324219,t319
6735,images/t376/KDcRKjKZrn.JPG,0.16,30.34282493591309,t376
601,images/t028/hgywyXBgXT.JPG,0.17,32.925479888916016,t028
809,images/t037/TsfEkDrDmm.JPG,0.16,30.300796508789062,t037
7842,images/t078/QzvYgvhOfG.jpeg,0.17,30.67508316040039,t078
7581,images/t441/plreWezPDd.JPG,0.16,30.23891830444336,t441
2586,images/t159/PQKNGdlxTF.JPG,0.15,28.205581665039062,t159
2197,images/t125/VdKeqPKYci.jpeg,0.17,31.96648406982422,t125
5568,images/t296/yUBPhQjagC.jpg,0.16,30.02078628540039,t296
5949,images/t322/SUlvTiCoSI.JPG,0.15,29.01358795166016,t322
8010,images/t296/DsxZViaucj.jpeg,0.16,30.393165588378903,t296
6139,images/t323/wPJEEwqHvy.JPG,0.18,33.83938217163086,t323
2520,images/t157/hEhsFlUhew.jpeg,0.15,29.025047302246094,t157
2588,images/t159/UKkVLTVAIZ.JPG,0.17,31.7697811126709,t159
776,images/t035/ayXqBTysMM.JPG,0.17,31.71688842773437,t035
4822,images/t250/hqxSKphMnY.jpg,0.16,30.104944229125977,t250
4390,images/t240/AabfOCfNfy.JPG,0.17,33.225379943847656,t240
6373,images/t341/EQptTRahxm.JPG,0.17,32.992767333984375,t341
8178,images/t441/hCDQCcbJpo.jpeg,0.15,29.548084259033203,t441
7880,images/t095/SWtQCbddkC.jpeg,0.18,33.49614334106445,t095
5994,images/t322/uYhYaNxsmV.jpeg,0.16,29.3497371673584,t322
8280,images/t468/jaRvbcNgtt.jpeg,0.17,31.698549270629883,t468
2903,images/t175/tLjhzwplEp.JPG,0.16,30.15030288696289,t175
2755,images/t167/sqlsOWSzHh.JPG,0.16,29.888669967651367,t167
4961,images/t257/fONSUbeHYD.JPG,0.15,28.54838180541992,t257
6759,images/t376/joEMLwQNdv.JPG,0.16,28.993940353393555,t376
1584,images/t079/HefFhTJHhv.JPG,0.17,32.46968078613281,t079
8152,images/t423/XbmzXyJgzF.jpeg,0.17,31.055644989013672,t423
2027,images/t110/DjALOUcOJS.JPG,0.15,29.50342559814453,t110
4739,images/t246/ZfRjJMRjVL.JPG,0.16,29.174152374267575,t246
209,images/t009/UJYfdjvmbk.JPG,0.16,28.8325138092041,t009
2656,images/t163/OFyCePArIe.JPG,0.17,31.409236907958984,t163
7788,images/t014/bwhEQsknJX.jpeg,0.17,32.94561004638672,t014
3994,images/t231/OakVrqrMTQ.JPG,0.16,28.868804931640625,t231
8540,images/t566/oBxzEPWDdA.jpeg,0.15,28.576221466064453,t566
3905,images/t228/kfpmGnOIRl.JPG,0.17,31.400909423828125,t228
5449,images/t292/bMqhPIBBgj.JPG,0.16,30.184553146362305,t292
5218,images/t271/nGtrfWyISG.JPG,0.16,29.13455581665039,t271
6491,images/t352/EmaFCwSmSP.JPG,0.17,31.009092330932617,t352
6631,images/t362/lrhSWFOWEj.JPG,0.17,30.999053955078125,t362
424,images/t021/uajaUWzoLe.JPG,0.17,31.5517635345459,t021
5199,images/t269/scaUquDOSz.JPG,0.17,31.51997756958008,t269
666,images/t033/JavIrZBgAX.JPG,0.16,29.509496688842773,t033
1475,images/t073/rrsSLtRFif.jpeg,0.16,30.73648834228516,t073
4424,images/t240/wBnoXrbCox.JPG,0.17,31.702468872070312,t240
7289,images/t417/WzJqCtOmhP.JPG,0.16,31.50275230407715,t417
5099,images/t263/eLwUhcviNM.JPG,0.16,29.55595016479492,t263
6533,images/t353/ckLLXlJtMH.jpeg,0.16,30.18372344970703,t353
2651,images/t163/IUajMpsjmw.JPG,0.16,30.715652465820312,t163
2039,images/t110/MkCKNokxCT.JPG,0.18,34.00012969970703,t110
4378,images/t238/xBjiyCJlbx.jpg,0.14,26.527063369750977,t238
4238,images/t236/IPqDtVZIJK.JPG,0.14,26.503135681152344,t236
1182,images/t062/RPaiouSTDG.JPG,0.18,33.70053482055664,t062
4998,images/t259/AfPWRwXnax.JPG,0.15,27.68787384033203,t259
1513,images/t075/NsodhvozLI.JPG,0.16,31.293012619018555,t075
2894,images/t175/foAsTTYhEH.JPG,0.15,29.059789657592773,t175
1518,images/t075/eaKbuYiggQ.JPG,0.18,31.659130096435547,t075
8163,images/t427/FTwFJFTNnM.jpeg,0.17,31.43157958984375,t427
6455,images/t350/eeGRkwSYEd.JPG,0.15,29.711414337158203,t350
2452,images/t146/amZkyinVTE.JPG,0.17,30.49167823791504,t146
7232,images/t410/aVNthvCWJD.jpg,0.16,29.00237274169922,t410
1530,images/t075/xzKeFISUbR.JPG,0.16,29.509191513061523,t075
1733,images/t092/oRbVLKDrCI.jpg,0.15,28.672950744628903,t092
4072,images/t232/oAoiWSEnoN.jpg,0.15,28.21731185913086,t232
7136,images/t402/XCJfQhSFfJ.jpg,0.16,28.469730377197266,t402
1351,images/t067/mmWGLwhNhx.JPG,0.16,29.36008071899414,t067
818,images/t037/dbeQtkcsZR.JPG,0.16,30.156280517578125,t037
