id,file_name,Best_ths,Best PSNR,identity
732,images/t033/zjeLdAyepv.JPG,0.2,28.430051803588867,t033
1136,images/t056/TtLqCOOUhn.JPG,0.19,28.089111328125,t056
2392,images/t141/nFyCadXWCH.JPG,0.21,31.15338516235352,t141
5092,images/t263/EHasQiDlGR.JPG,0.19,27.324764251708984,t263
4237,images/t236/GAYJBHXtYe.JPG,0.2,28.87376594543457,t236
1588,images/t079/WNIumUCEXo.JPG,0.21,30.1787223815918,t079
2111,images/t115/BHtsNHRRlv.JPG,0.2,29.04925537109375,t115
116,images/t006/NVvCgDiDnf.jpg,0.21,30.891361236572266,t006
262,images/t014/TlYSNOKjCg.jpg,0.2,27.98343849182129,t014
5427,images/t289/qiKgvhXqPC.JPG,0.2,28.93856430053711,t289
6684,images/t371/kdebLsPRqm.jpeg,0.21,30.74744415283203,t371
1471,images/t073/ogRSDSUBAl.jpeg,0.22,31.006277084350582,t073
257,images/t014/NZdNiMlNvp.jpg,0.21,29.694965362548828,t014
7187,images/t407/bDsskxpvKL.jpg,0.19,27.36300468444824,t407
4154,images/t235/INvFQicyFw.JPG,0.19,27.40753555297852,t235
7585,images/t441/twkHlyAaYh.JPG,0.19,27.07539367675781,t441
4970,images/t257/nloJNDWHet.JPG,0.22,31.22457504272461,t257
6059,images/t323/TrNBmAatYL.JPG,0.2,27.914426803588867,t323
646,images/t032/LTDoDQNflu.JPG,0.19,27.25970458984375,t032
5198,images/t269/sAmqBlAyGF.JPG,0.21,30.461639404296875,t269
8229,images/t459/EPHKHnhAnF.jpeg,0.2,29.1189079284668,t459
4397,images/t240/FhEaoLsIQd.JPG,0.19,26.847301483154297,t240
5067,images/t261/bwASOtyhKj.JPG,0.21,29.25215148925781,t261
163,images/t007/tGosBfkLnc.JPG,0.2,29.00513458251953,t007
1756,images/t093/vlRfzRiUcN.jpeg,0.25,38.7767219543457,t093
8375,images/t492/KLemVnMybo.jpeg,0.22,32.261566162109375,t492
1469,images/t073/iLEGMMQBau.jpeg,0.2,30.01227378845215,t073
8270,images/t468/BtAGMOznuw.jpeg,0.21,30.760059356689453,t468
610,images/t028/mNxlvhlCvo.JPG,0.19,27.9563045501709,t028
6111,images/t323/mXOQShBXhN.JPG,0.19,26.754377365112305,t323
658,images/t033/AuDoWobtfE.JPG,0.21,29.721755981445312,t033
8556,images/t567/hMrwEDnFrp.jpeg,0.19,27.660667419433597,t567
8691,images/t470/ILrKfRXmbW.jpeg,0.19,28.227447509765625,t470
5900,images/t319/wsvpwPRpOw.JPG,0.22,32.62930679321289,t319
6735,images/t376/KDcRKjKZrn.JPG,0.2,29.704364776611328,t376
601,images/t028/hgywyXBgXT.JPG,0.21,32.276885986328125,t028
809,images/t037/TsfEkDrDmm.JPG,0.21,29.72347640991211,t037
7842,images/t078/QzvYgvhOfG.jpeg,0.21,30.083234786987305,t078
7581,images/t441/plreWezPDd.JPG,0.21,29.813432693481445,t441
2586,images/t159/PQKNGdlxTF.JPG,0.2,27.67491912841797,t159
2197,images/t125/VdKeqPKYci.jpeg,0.22,31.446971893310547,t125
5568,images/t296/yUBPhQjagC.jpg,0.21,29.505203247070312,t296
5949,images/t322/SUlvTiCoSI.JPG,0.2,28.499662399291992,t322
8010,images/t296/DsxZViaucj.jpeg,0.21,29.760089874267575,t296
6139,images/t323/wPJEEwqHvy.JPG,0.23,33.40157699584961,t323
2520,images/t157/hEhsFlUhew.jpeg,0.2,28.34722137451172,t157
2588,images/t159/UKkVLTVAIZ.JPG,0.22,31.188554763793945,t159
776,images/t035/ayXqBTysMM.JPG,0.21,31.224729537963867,t035
4822,images/t250/hqxSKphMnY.jpg,0.2,29.393918991088867,t250
4390,images/t240/AabfOCfNfy.JPG,0.22,32.65949630737305,t240
6373,images/t341/EQptTRahxm.JPG,0.22,32.471195220947266,t341
8178,images/t441/hCDQCcbJpo.jpeg,0.2,28.84231948852539,t441
7880,images/t095/SWtQCbddkC.jpeg,0.22,32.718658447265625,t095
5994,images/t322/uYhYaNxsmV.jpeg,0.2,28.9146728515625,t322
8280,images/t468/jaRvbcNgtt.jpeg,0.21,31.156265258789062,t468
2903,images/t175/tLjhzwplEp.JPG,0.21,29.56405639648437,t175
2755,images/t167/sqlsOWSzHh.JPG,0.21,29.346271514892575,t167
4961,images/t257/fONSUbeHYD.JPG,0.19,27.860471725463867,t257
6759,images/t376/joEMLwQNdv.JPG,0.2,28.39912223815918,t376
1584,images/t079/HefFhTJHhv.JPG,0.21,31.893064498901367,t079
8152,images/t423/XbmzXyJgzF.jpeg,0.22,30.669204711914062,t423
2027,images/t110/DjALOUcOJS.JPG,0.2,28.714832305908203,t110
4739,images/t246/ZfRjJMRjVL.JPG,0.2,28.560800552368164,t246
209,images/t009/UJYfdjvmbk.JPG,0.2,28.315332412719727,t009
2656,images/t163/OFyCePArIe.JPG,0.22,30.83187294006348,t163
7788,images/t014/bwhEQsknJX.jpeg,0.22,32.349609375,t014
3994,images/t231/OakVrqrMTQ.JPG,0.2,28.36747169494629,t231
8540,images/t566/oBxzEPWDdA.jpeg,0.2,28.021034240722656,t566
3905,images/t228/kfpmGnOIRl.JPG,0.21,30.891063690185547,t228
5449,images/t292/bMqhPIBBgj.JPG,0.2,29.612323760986328,t292
5218,images/t271/nGtrfWyISG.JPG,0.2,28.51604652404785,t271
6491,images/t352/EmaFCwSmSP.JPG,0.22,30.550952911376957,t352
6631,images/t362/lrhSWFOWEj.JPG,0.22,30.51576232910156,t362
424,images/t021/uajaUWzoLe.JPG,0.22,30.974018096923828,t021
5199,images/t269/scaUquDOSz.JPG,0.21,30.95609664916992,t269
666,images/t033/JavIrZBgAX.JPG,0.2,28.926063537597656,t033
1475,images/t073/rrsSLtRFif.jpeg,0.21,30.192352294921875,t073
4424,images/t240/wBnoXrbCox.JPG,0.22,31.33979606628418,t240
7289,images/t417/WzJqCtOmhP.JPG,0.21,31.00609588623047,t417
5099,images/t263/eLwUhcviNM.JPG,0.2,28.95927047729492,t263
6533,images/t353/ckLLXlJtMH.jpeg,0.2,29.54842567443848,t353
2651,images/t163/IUajMpsjmw.JPG,0.2,30.155067443847656,t163
2039,images/t110/MkCKNokxCT.JPG,0.23,33.531761169433594,t110
4378,images/t238/xBjiyCJlbx.jpg,0.19,26.053857803344727,t238
4238,images/t236/IPqDtVZIJK.JPG,0.18,25.95562744140625,t236
1182,images/t062/RPaiouSTDG.JPG,0.23,33.127933502197266,t062
4998,images/t259/AfPWRwXnax.JPG,0.19,27.12801742553711,t259
1513,images/t075/NsodhvozLI.JPG,0.21,30.74928474426269,t075
2894,images/t175/foAsTTYhEH.JPG,0.2,28.4736442565918,t175
1518,images/t075/eaKbuYiggQ.JPG,0.23,31.30988311767578,t075
8163,images/t427/FTwFJFTNnM.jpeg,0.21,30.82793235778809,t427
6455,images/t350/eeGRkwSYEd.JPG,0.19,29.055538177490234,t350
2452,images/t146/amZkyinVTE.JPG,0.22,30.081270217895508,t146
7232,images/t410/aVNthvCWJD.jpg,0.2,28.494253158569336,t410
1530,images/t075/xzKeFISUbR.JPG,0.2,28.93450164794922,t075
